Line, line: $point_pair, length: $length cm#Draw a line $point_pair of length $length cm
Line, line: $point_pair, length: $length cm#Construct a line $point_pair of length $length cm
Line, line: $point_pair, length: $length cm#Draw a line segment $point_pair of length $length cm
Line, line: $point_pair, length: $length cm#Draw $point_pair length equals $length cm
Line ,parent_line: $point_pair2, child_line: $point_pair1, length: 2*$length1 cm#Draw a line $point_pair1 such that it's length is twice of line $point_pair2
Line ,parent_line: $point_pair2, child_line: $point_pair1, length: 2*$length1 cm#Draw a line $point_pair1 such that it's length is twice of $point_pair2
Line, parent_line: $point_pair2, child_line: $point_pair1, length: 3*$length1 cm#Draw a line $point_pair1 such that it's length is thrice of line $point_pair2
Line, parent_line: $point_pair2, child_line: $point_pair1, length: 3*$length1 cm#Draw a line $point_pair1 such that it's length is thrice of $point_pair2
Bisect, line: $point_pair#Bisect line $point_pair
Bisect, line: $point_pair#Divide line AB in two parts
Bisect, line: $point_pair#Draw a bisector of line $point_pair
Bisect, line: $point_pair#Draw a perpendicular bisector of $point_pair
Bisect, line: $point_pair#Divide the line $point_pair in two parts
Bisect, line: $point_pair#Cut the line $point_pair in two equal halves
Perpendicular, line: $point_pair#Draw a perpendicular to $point_pair
Perpendicular, line: $point_pair#Draw a perpendicular of $point_pair
Perpendicular, line: $point_pair#Construct a perpendicular of $point_pair
Join, points: $point_pair#Join $point_pair
Join, points: $point_pair#Connect $point_pair
Join, points: $point1+$point2#Join the point $point1 and $point2
Join, points: $point1+$point2#Connect the point $point1 and $point2
Bisect, line: $point_pair#Bisect line AB
Bisect, line: $point_pair#Draw a bisector of line AB
Bisect, line: $point_pair#Draw a perpendicular bisector of AB
Perpendicular, line: $point_pair#Draw a perpendicular to AB
Perpendicular, line: $point_pair#Draw a perpendicular of AB
Perpendicular, line: $point_pair#Construct a perpendicular of AB
Join, points: $point1+$point2#Join the point A and B
Join, points: $point1+$point2#Connect the point A and B
Bisect, line: $point_pair#Bisect line AC
Bisect, line: $point_pair#Draw a bisector of line AC
Bisect, line: $point_pair#Draw a perpendicular bisector of AC
Perpendicular, line: $point_pair#Draw a perpendicular to AC
Perpendicular, line: $point_pair#Draw a perpendicular of AC
Perpendicular, line: $point_pair#Construct a perpendicular of AC
Join, points: $point1+$point2#Join the point A and C
Join, points: $point1+$point2#Connect the point A and C
Bisect, line: $point_pair#Bisect line AD
Bisect, line: $point_pair#Draw a bisector of line AD
Bisect, line: $point_pair#Draw a perpendicular bisector of AD
Perpendicular, line: $point_pair#Draw a perpendicular to AD
